muni_join,uf_join,id_municipio,manual,atencao,existia_1991,existia_2000,existia_2010
alta floresta doeste,RO,1100015,FALSE,FALSE,1,1,1
ariquemes,RO,1100023,FALSE,FALSE,1,1,1
cabixi,RO,1100031,FALSE,FALSE,1,1,1
cacoal,RO,1100049,FALSE,FALSE,1,1,1
cerejeiras,RO,1100056,FALSE,FALSE,1,1,1
colorado do oeste,RO,1100064,FALSE,FALSE,1,1,1
corumbiara,RO,1100072,FALSE,FALSE,0,1,1
costa marques,RO,1100080,FALSE,FALSE,1,1,1
espigao doeste,RO,1100098,FALSE,FALSE,1,1,1
guajara-mirim,RO,1100106,FALSE,FALSE,1,1,1
jaru,RO,1100114,FALSE,FALSE,1,1,1
ji-parana,RO,1100122,FALSE,FALSE,1,1,1
machadinho doeste,RO,1100130,FALSE,FALSE,1,1,1
nova brasilandia doeste,RO,1100148,FALSE,FALSE,1,1,1
ouro preto do oeste,RO,1100155,FALSE,FALSE,1,1,1
pimenta bueno,RO,1100189,FALSE,FALSE,1,1,1
porto velho,RO,1100205,FALSE,FALSE,1,1,1
presidente medici,RO,1100254,FALSE,FALSE,1,1,1
rio crespo,RO,1100262,FALSE,FALSE,0,1,1
rolim de moura,RO,1100288,FALSE,FALSE,1,1,1
santa luzia doeste,RO,1100296,FALSE,FALSE,1,1,1
vilhena,RO,1100304,FALSE,FALSE,1,1,1
sao miguel do guapore,RO,1100320,FALSE,FALSE,1,1,1
nova mamore,RO,1100338,FALSE,FALSE,1,1,1
alvorada doeste,RO,1100346,FALSE,FALSE,1,1,1
alto alegre dos parecis,RO,1100379,FALSE,FALSE,0,1,1
alto paraiso,RO,1100403,FALSE,FALSE,0,1,1
buritis,RO,1100452,FALSE,FALSE,0,1,1
novo horizonte do oeste,RO,1100502,FALSE,FALSE,0,1,1
cacaulandia,RO,1100601,FALSE,FALSE,0,1,1
campo novo de rondonia,RO,1100700,FALSE,FALSE,0,1,1
candeias do jamari,RO,1100809,FALSE,FALSE,0,1,1
castanheiras,RO,1100908,FALSE,FALSE,0,1,1
chupinguaia,RO,1100924,FALSE,FALSE,0,1,1
cujubim,RO,1100940,FALSE,FALSE,0,1,1
governador jorge teixeira,RO,1101005,FALSE,FALSE,0,1,1
itapua do oeste,RO,1101104,FALSE,FALSE,0,1,1
ministro andreazza,RO,1101203,FALSE,FALSE,0,1,1
mirante da serra,RO,1101302,FALSE,FALSE,0,1,1
monte negro,RO,1101401,FALSE,FALSE,0,1,1
nova uniao,RO,1101435,FALSE,FALSE,0,1,1
parecis,RO,1101450,FALSE,FALSE,0,1,1
pimenteiras do oeste,RO,1101468,FALSE,FALSE,0,1,1
primavera de rondonia,RO,1101476,FALSE,FALSE,0,1,1
sao felipe doeste,RO,1101484,FALSE,FALSE,0,1,1
sao francisco do guapore,RO,1101492,FALSE,FALSE,0,1,1
seringueiras,RO,1101500,FALSE,FALSE,0,1,1
teixeiropolis,RO,1101559,FALSE,FALSE,0,1,1
theobroma,RO,1101609,FALSE,FALSE,0,1,1
urupa,RO,1101708,FALSE,FALSE,0,1,1
vale do anari,RO,1101757,FALSE,FALSE,0,1,1
vale do paraiso,RO,1101807,FALSE,FALSE,0,1,1
acrelandia,AC,1200013,FALSE,FALSE,0,1,1
assis brasil,AC,1200054,FALSE,FALSE,1,1,1
brasileia,AC,1200104,FALSE,FALSE,1,1,1
bujari,AC,1200138,FALSE,FALSE,0,1,1
capixaba,AC,1200179,FALSE,FALSE,0,1,1
cruzeiro do sul,AC,1200203,FALSE,FALSE,1,1,1
epitaciolandia,AC,1200252,FALSE,FALSE,0,1,1
feijo,AC,1200302,FALSE,FALSE,1,1,1
jordao,AC,1200328,FALSE,FALSE,0,1,1
mancio lima,AC,1200336,FALSE,FALSE,1,1,1
manoel urbano,AC,1200344,FALSE,FALSE,1,1,1
marechal thaumaturgo,AC,1200351,FALSE,FALSE,0,1,1
placido de castro,AC,1200385,FALSE,FALSE,1,1,1
porto walter,AC,1200393,FALSE,FALSE,0,1,1
rio branco,AC,1200401,FALSE,FALSE,1,1,1
rodrigues alves,AC,1200427,FALSE,FALSE,0,1,1
santa rosa do purus,AC,1200435,FALSE,FALSE,0,1,1
senador guiomard,AC,1200450,FALSE,FALSE,1,1,1
sena madureira,AC,1200500,FALSE,FALSE,1,1,1
tarauaca,AC,1200609,FALSE,FALSE,1,1,1
xapuri,AC,1200708,FALSE,FALSE,1,1,1
porto acre,AC,1200807,FALSE,FALSE,0,1,1
alvaraes,AM,1300029,FALSE,FALSE,1,1,1
amatura,AM,1300060,FALSE,FALSE,1,1,1
anama,AM,1300086,FALSE,FALSE,1,1,1
anori,AM,1300102,FALSE,FALSE,1,1,1
apui,AM,1300144,FALSE,FALSE,1,1,1
atalaia do norte,AM,1300201,FALSE,FALSE,1,1,1
autazes,AM,1300300,FALSE,FALSE,1,1,1
barcelos,AM,1300409,FALSE,FALSE,1,1,1
barreirinha,AM,1300508,FALSE,FALSE,1,1,1
benjamin constant,AM,1300607,FALSE,FALSE,1,1,1
beruri,AM,1300631,FALSE,FALSE,1,1,1
boa vista do ramos,AM,1300680,FALSE,FALSE,1,1,1
boca do acre,AM,1300706,FALSE,FALSE,1,1,1
borba,AM,1300805,FALSE,FALSE,1,1,1
caapiranga,AM,1300839,FALSE,FALSE,1,1,1
canutama,AM,1300904,FALSE,FALSE,1,1,1
carauari,AM,1301001,FALSE,FALSE,1,1,1
careiro,AM,1301100,FALSE,FALSE,1,1,1
careiro da varzea,AM,1301159,FALSE,FALSE,1,1,1
coari,AM,1301209,FALSE,FALSE,1,1,1
codajas,AM,1301308,FALSE,FALSE,1,1,1
eirunepe,AM,1301407,FALSE,FALSE,1,1,1
envira,AM,1301506,FALSE,FALSE,1,1,1
fonte boa,AM,1301605,FALSE,FALSE,1,1,1
guajara,AM,1301654,FALSE,FALSE,1,1,1
humaita,AM,1301704,FALSE,FALSE,1,1,1
ipixuna,AM,1301803,FALSE,FALSE,1,1,1
iranduba,AM,1301852,FALSE,FALSE,1,1,1
